ITEM NO.,PART NUMBER,REVISION,DESCRIPTION,DOCUMENTTYPE,MATERIAL,PROCESS,THICKNESS,FINISH,COLOR,VENDOR,VPN,QTY.
4.9,  VX~02-00055,B,"LOCKOUT, BACK",MANUFACTURED PART,ABS PC,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.1,  VX~99-00113,,"WASHER, M4, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,22
4.11,  VX~99-00106,,"M4X0.7PX6L, SHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,17
4.12,  VX~99-00110,,"M4X0.7PX10L, SHCS, LOW-PROFILE, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,6
4.13,  VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,3
4.14,  VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,2
4.15,  VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,2
4.16,  VX~99-00120,,"M3X0.5PX5L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,91306A655,2
4.17,  ESSENTRA~WSLC-6-01,A,"CABLE CLIP, WIRE SADLE, HINGED TOP LOCK, 3.51MM HOLE",PURCHASED PART,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,WHITE,ESSENTRA COMPONENTS,WSLC-6-0-1,3
4.18,"  
GLOBTEK~USBCW1M0USBC2
SLEMBK",,"CABLE, USB-C, STRAIGHT C, LEFT C WITH SCREW LOCK, 1.00M",PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE,BLACK,"GLOBTEK, INC.","USBCW1M0USBC2
SLEMBK",1
4.19,  VX~02-00070,A,"POWER ENTRY STAGE 2, JUMPER HARNESS",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.19.1,    VX~02-00070,A,"CABLE, POWER ENTRY STAGE 2, JUMPER HARNESS",PURCHASED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.2,  VX~02-00071,A,"CABLE, LID GROUND STRAP",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.20.1,    VX~02-00071,A,"CABLE, LID, GROUND STRAP",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.21,  VX~02-00072,A,"CABLE, POWER SUPPLY GROUND",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.21.1,    VX~02-00072,A,"CABLE, POWER SUPPLY GROUND",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.22,  VX~02-00074,A,"CABLE, GROUND DAISY CHAIN",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.22.1,    VX~02-00074,A,"CABLE, GROUND DAISY CHAIN",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.23,  VX~02-00075,A,"CABLE, HOT DAISY CHAIN",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.23.1,    VX~02-00075,A,"CABLE, HOT DAISY CHAIN",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.24,  VX~02-00076,A,"NEUTRAL, DAISY CHAIN",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.24.1,    VX~02-00076,A,"CABLE, NEUTRAL DAISY CHAIN",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.25,  VX~02-00078,A,"CABLE, PRINTER POWER, 24V",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.25.1,    VX~02-00078,A,"CABLE, PRINTER POWER, 24V",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.26,"  MY-CABLE-MART~FE-ADT-
143",,"3.5mm RIGHT ANGLE ADAPTER, MALE/FEMALE STEREO TRS (3 CONNECTOR)",PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,BLACK,MY CABLE MART,,1
4.27,"  MYCABLEMART~FE-3MMPM-
01MF",,1.5FT 3.5mm MINI-STEREO TRS MALE TO FEMALE PANEL-MOUNT EXTENSION CABLE,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,,MY CABLE MART,FE-3MMPM-01MF,1
4.28,"  USBFIREWIRE~RR-ARBR-
06GR",,USB 3 RIGHT A TO RIGHT B - 6IN,PURCHASED PART,SEE NOTES,COTS,XXX,NONE / AS FABRICATED,BLACK,USB-FIREWIRE,RR-ARBR-06GR,1
5,VX~02-00057,B,BASE SUBPANEL SHIM,MANUFACTURED PART,AISI 304,SHEET METAL,1.91,OTHER - SEE NOTES,SEE NOTES,EVANS MANUFACTURING COMPANY,,2
6,VX~01-00011,A,"ASSEMBLY, PAPER ROLL HOLDER",MULTI PART ASSEMBLY,SEE BOM,ASSEMBLY,XXX,NONE / AS FABRICATED,SEE BOM,,,1
6.1,  VX~99-00099,,"THERMAL PAPER, A4, 52MM OD, 15MM ID",PROCESS CONSUMABLE,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,OTHER - SEE NOTES,WHITE,,,1
6.2,  VX~02-00042,C,"PAPER ROLL HOLDER, LEFT",MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
6.3,  VX~02-00043,C,"PAPER ROLL HOLDER, RIGHT",MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
6.4,  VX~01-00012,A,"ASSEMBLY, PAPER ROLL HOLDER SPRING WITH CAP",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
6.4.1,    VX~02-00047,B,"SPRING, ROLL HOLDER",MANUFACTURED PART,AISI 301 1/2 HARD,SHEET METAL,0.508,DEBURRED,RAW,RAPID AXIS LLC,,1
6.4.2,    VX~02-00046,B,"ROLL HOLDER, SPRING CAP WITH INSERTS",EMBEDDED HARDWARE ASSEMBLY,SEE NOTES,INJECTION MOLD,XXX,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
6.4.2.1,      VX~99-00142,,"M3X0.5PX5.7L, HEAT-SET THREADED INSERT","EMBEDDED COMPONENT -- NON-
BOM",BRASS,"EMBEDDED 
COMPONENT",THICKNESS,NONE / AS FABRICATED,NONE,MCMASTER-CARR,,1
6.4.3,    VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,1
6.4.4,    VX~99-00120,,"M3X0.5PX5L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,91306A655,1
6.5,  VX~02-00044,D,"PLATEN AND ROLL HOLDER, TOP WITH INSERTS",EMBEDDED HARDWARE ASSEMBLY,SEE NOTES,INJECTION MOLD,XXX,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
6.5.1,    VX~99-00152,,"M3X0.5PX4.3L, HEAT-SET THREADED INSERT","EMBEDDED COMPONENT -- NON-
BOM",BRASS,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,MCMASTER-CARR,,7
6.6,  VX~02-00045,D,"TEAR BAR, SERRATED",MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
6.7,  VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,7
6.8,  VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,7
6.9,  VX~99-00118,,"M3X0.5PX8L, FHCS, 90°, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK-OXIDE,BLACK,MCMASTER-CARR,,3
7,VX~02-00066,A,HIGH VOLTAGE GUARD,MANUFACTURED PART,NYLON 101,,THICKNESS,SEE NOTES,SEE NOTES,PONOKO INC.,,1
8,VX~02-00051,A,"PANEL, MAIN, RIGHT",MANUFACTURED PART,5052-H32,SHEET METAL,THICKNESS,ANODIZED,BLACK,EVANS MANUFACTURING COMPANY,,1
9,VX~01-00013,A,"ASSEMBLY, PANEL, MAIN, LEFT WITH HINGE",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
9.1,  VX~02-00049,A,"PANEL, MAIN, LEFT",MANUFACTURED PART,5052-H32,SHEET METAL,THICKNESS,ANODIZED,BLACK,EVANS MANUFACTURING COMPANY,,1
9.2,  VX~02-00050,B,"PANEL, POLLWORKER ACCESS",MANUFACTURED PART,5052-H32,SHEET METAL,THICKNESS,ANODIZED,BLACK,EVANS MANUFACTURING COMPANY,,1
9.3,  VX~99-00105,,"HINGE, SCREW ON, 1-1/2""H X 13/16""W LEAF, NYLON",PURCHASED PART,ACETAL,COTS,XXX,NONE / AS FABRICATED,NONE,MCMASTER-CARR,1635A101,1
9.4,  VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,4
9.5,  VX~99-00119,,"M3X0.5PX10L, FHCS, 90°, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,4
9.6,  VX~99-00107,,"NUT, M3X0.5P, NYLOCK, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,4
10,VX~02-00062,E,LOCKOUT FLEX,MANUFACTURED PART,POM ACETAL COPOLYMER,,THICKNESS,OTHER - SEE NOTES,BLACK,PONOKO INC.,,1
11,VX~02-00038,C,CABLE WRAP SHIM,MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,2
12,VX~02-00054,B,"INFEED TRAY, BOTTOM",MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
13,VX~01-00015,A,"ASSEMBLY, LID",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
13.1,  VX~01-00016,B,TOP TUB DISPLAY ASSEMBLY,MULTI PART ASSEMBLY,,ASSEMBLY,,NONE / AS FABRICATED,,,,1
13.1.1,    VX~02-00176,B,"BRACKET, LID DISPLAY WITH PEMS, 1504LS",EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,"CHEM FILM / 
CONVERSION COATING",RAW,EVANS MANUFACTURING COMPANY,,1
13.1.1.1,      VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,8
13.1.1.2,      VX~99-00148,,"M4X0.7P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,,4
13.1.2,    VX~02-00177,B,"ADAPTER BRACKET WITH PEMS, LID DISPLAY, 1504LS",EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,DEBURRED,RAW,,,1
13.1.2.1,      VX~99-90035,,"UNTHREADED SPACER, M4.1 ID, 6MM LONG","EMBEDDED COMPONENT -- NON-
BOM",PLAIN CARBON STEEL,"EMBEDDED 
COMPONENT",THICKNESS,ZINC PLATED,RAW,PENNENGINEERING,,4
13.1.2.2,      VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,1
13.1.3,    ELO~1504LS,,15.6'' DIAGONAL 1920 X 1080 SINGLE CABLE TOUCHSCREEN MONITOR,PURCHASED PART,SEE NOTES,,XXX,SEE NOTES,SEE NOTES,,,1
13.1.4,    VX~99-00113,,"WASHER, M4, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,4
13.1.5,    VX~99-00110,,"M4X0.7PX10L, SHCS, LOW-PROFILE, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,4
13.1.6,    VX~99-00117,,"M3X0.5PX5L, FHCS, 90°, BLACK OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,4
13.1.7,    VX~99-90015,X01,"CABLE PUSH MOUNT, 4.3IN LENGTH, 0.87IN MAX BUNDLE, BLACK",PROCESS CONSUMABLE,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,BLACK,MCMASTER-CARR,6686K32,1
13.2,  VX~02-00178,B,"BEZEL, DISPLAY, 1504LS",MANUFACTURED PART,5052-H32,SHEET METAL,THICKNESS,SEE NOTES,SEE NOTES,EVANS MANUFACTURING COMPANY,,1
13.3,  VX~02-00061,B,"DISPLAY CABLE CONDUIT, LID",MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
13.4,  VX~99-00172,A,FLEXIBLE CABLE CONDUIT,PROCESS CONSUMABLE,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,BLACK,MCMASTER-CARR,,1
13.5,  VX~99-00117,,"M3X0.5PX5L, FHCS, 90°, BLACK OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,7
13.6,  VX~99-00177,A,"LIGHT DUTY VINYL FOAM, ADHESIVE-BACK, 2"" WIDE, 3/16"" THICK ",PROCESS CONSUMABLE,POLYURETHANE FOAM FLEXIBLE,HARDWARE,"3/16""",N/A,GRAY,MCMASTER-CARR,,4
14,ESSENTRA~167204069902,,"PUSH-IN BARBED RIVET, NYLON",PURCHASED PART,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,BLACK,ESSENTRA COMPONENTS,1.67204E+11,6
15,VX~99-00133,,"WASHER, OVERSIZED, NO.8, 0.172""ID, 0.75""OD, BLACK-OXIDE",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK-OXIDE,BLACK,MCMASTER-CARR,,3
16,VX~99-00106,,"M4X0.7PX6L, SHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,4
17,VX~99-00118,,"M3X0.5PX8L, FHCS, 90°, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK-OXIDE,BLACK,MCMASTER-CARR,,4
18,VX~99-00113,,"WASHER, M4, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,1
19,VX~99-00114,,"WASHER, M5, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,6
20,VX~99-00109,,"M5X0.8PX22L, SHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,6
21,VX~99-00136,,"M4X0.6PX16L, BHCS, FLANGED, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK-OXIDE,BLACK,MCMASTER-CARR,,4
22,VX~99-00117,,"M3X0.5PX5L, FHCS, 90°, BLACK OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,10
23,VX~99-00137,,"RIVET, BLIND, 0.125"" DIA, BLACK",PURCHASED PART,5052-O,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,2
24,VX~02-00093,A,"LABEL, POLL WORKER DOOR",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,LABEL,THICKNESS,SEE NOTES,SEE NOTES,MAKESTICKERS.COM,,1
25,VX~99-00094,,"SEAL, TAMPER EVIDENT, BARBELL",PURCHASED PART,MATERIAL <NOT SPECIFIED>,LABEL,THICKNESS,OTHER - SEE NOTES,SEE NOTES,,,3
26,VX~99-00095,A,"LABEL, HIGH VOLTAGE",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,LABEL,THICKNESS,OTHER - SEE NOTES,SEE NOTES,,,1
27,CUI~AC-C13-NA,,"AC POWER CORD, C13, 18AWG, 6""",PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,BLACK,,AC-C13-NA,1
